Corrected upload audit
DB rows: 1478
Existing: 0
Missing: 1478

--- Missing file rows ---
FileID=1620, Contract=26-용역-041, Original=2026년예산군지하시설물전산화사업산출내역서_낙찰율적용.xlsx, FilePath=/static/uploads/2026/20260629_092355_2026년예산군지하시설물전산화사업산출내역서_낙찰율적용.xlsx_26-용역-041, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260629_092355_2026년예산군지하시설물전산화사업산출내역서_낙찰율적용.xlsx_26-용역-041
FileID=1619, Contract=26-용역-029, Original=설계내역서_여수산단지하정보고도화2차_낙찰율적용.xlsx, FilePath=/static/uploads/2026/20260629_092230_설계내역서_여수산단지하정보고도화2차_낙찰율적용.xlsx_26-용역-029, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260629_092230_설계내역서_여수산단지하정보고도화2차_낙찰율적용.xlsx_26-용역-029
FileID=1618, Contract=26-용역-043, Original=삼인견적서_지적측량_횡성군40호.pdf, FilePath=/static/uploads/2026/20260626_174649_삼인견적서_지적측량_횡성군40호.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260626_174649_삼인견적서_지적측량_횡성군40호.pdf_temp
FileID=1616, Contract=26-용역-042, Original=삼인견적서_지적측량_횡성군37호.pdf, FilePath=/static/uploads/2026/20260626_174326_삼인견적서_지적측량_횡성군37호.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260626_174326_삼인견적서_지적측량_횡성군37호.pdf_temp
FileID=1614, Contract=24-용역-062, Original=용역변경계약서최종.pdf, FilePath=/static/uploads/2026/20260624_151454_용역변경계약서최종.pdf_24-용역-062, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260624_151454_용역변경계약서최종.pdf_24-용역-062
FileID=1613, Contract=26-용역-039, Original=용역계약서.pdf, FilePath=/static/uploads/2026/20260622_092141_용역계약서.pdf_26-용역-039, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260622_092141_용역계약서.pdf_26-용역-039
FileID=1612, Contract=26-용역-015, Original=기술협상서안양.pdf, FilePath=/static/uploads/2026/20260619_163136_기술협상서안양.pdf_26-용역-015, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260619_163136_기술협상서안양.pdf_26-용역-015
FileID=1611, Contract=26-용역-041, Original=제안서협상결과통보서.pdf, FilePath=/static/uploads/2026/20260619_093625_제안서협상결과통보서.pdf_26-용역-041, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260619_093625_제안서협상결과통보서.pdf_26-용역-041
FileID=1610, Contract=26-용역-041, Original=2026년예산군지하시설물전산화사업용역_공고문.pdf, FilePath=/static/uploads/2026/20260619_093621_2026년예산군지하시설물전산화사업용역_공고문.pdf_26-용역-041, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260619_093621_2026년예산군지하시설물전산화사업용역_공고문.pdf_26-용역-041
FileID=1609, Contract=26-용역-041, Original=2026년예산군지하시설물전산화사업용역_제안요청서.pdf, FilePath=/static/uploads/2026/20260619_093621_2026년예산군지하시설물전산화사업용역_제안요청서.pdf_26-용역-041, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260619_093621_2026년예산군지하시설물전산화사업용역_제안요청서.pdf_26-용역-041
FileID=1608, Contract=26-검토-057, Original=삼인견적서_지적측량_횡성군40호.pdf, FilePath=/static/uploads/2026/20260617_170056_삼인견적서_지적측량_횡성군40호.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260617_170056_삼인견적서_지적측량_횡성군40호.pdf_temp
FileID=1607, Contract=26-용역-040, Original=용역계약서.pdf, FilePath=/static/uploads/2026/20260617_165916_용역계약서.pdf_26-용역-040, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260617_165916_용역계약서.pdf_26-용역-040
FileID=1606, Contract=26-용역-040, Original=과업지시서_지방도325호선상습정체구간개선사업도로대장작성용역.pdf, FilePath=/static/uploads/2026/20260617_165901_과업지시서_지방도325호선상습정체구간개선사업도로대장작성용역.pdf_26-용역-040, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260617_165901_과업지시서_지방도325호선상습정체구간개선사업도로대장작성용역.pdf_26-용역-040
FileID=1605, Contract=26-용역-040, Original=계약내역서_지방도325호선상습정체구간개선사업도로대장작성용역.pdf, FilePath=/static/uploads/2026/20260617_165838_계약내역서_지방도325호선상습정체구간개선사업도로대장작성용역.pdf_26-용역-040, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260617_165838_계약내역서_지방도325호선상습정체구간개선사업도로대장작성용역.pdf_26-용역-040
